시도,시군구,센터명,대표번호,팩스번호
서울,강남구,강남구가족센터,02-3414-2830,070-7469-2840
서울,강동구,강동구가족센터,02-476-0027,02-471-0954
서울,강북구,강북구가족센터,02-987-2567,070-7469-2568
서울,강서구,강서구건강가정지원센터,02-2606-2034,02-2606-2044
서울,관악구,관악구가족센터,02-883-9395,02-883-9320
서울,광진구,광진구가족센터,02-458-0183,02-458-0185
서울,구로구,구로구가족센터,02-830-0456,02-830-0438
서울,금천구,금천구가족센터,02-803-7747(내선3),02-803-7746
서울,노원구,노원구가족센터,02-979-3501,02-979-3504
서울,도봉구,도봉구가족센터,02-995-6800,02-995-6014
서울,동대문구,동대문구가족센터,02-957-0756,070-7469-0766
서울,동작구,동작구아이돌봄지원사업,02-6294-3532,02-599-3277
서울,마포구,마포구가족센터,02-3142-5482,070-7469-5477
서울,서대문구,서대문구아이돌봄지원센터,02-322-7554,02-722-7533
서울,서초구,서초구가족센터,02-576-2854,02-576-2881
서울,성동구,성동구가족센터,02-3395-9446,070-7469-9543
서울,성북구,성북구가족센터,02-921-1663,02-2179-8649
서울,송파구,송파구가족센터,02-430-3844,070-7469-3844
서울,양천구,양천구가족센터,02-2065-0848,02-2065-3425
서울,영등포구,영등포구가족센터,02-846-5432,02-2678-2195
서울,용산구,용산구가족센터,02-797-9186,02-797-9189
서울,은평구,은평구가족센터,02-376-3752,02-376-3750
서울,종로구,종로구가족센터,02-764-3523,02-764-4854
서울,중구,중구가족센터,02-2279-3890,02-2279-3898
서울,중랑구,중랑구아이돌봄지원센터,02-435-4147,070-7469-0211
부산,강서구,낙동종합사회복지관,051-714-0590,051-714-0598
부산,금정구,금정구가족센터,051-532-0077,051-513-2132
부산,기장군,기장군가족센터,051-792-4891,051-724-0419
부산,남구,남구종합사회복지관,051-647-3644,051-647-3656
부산,동구,부산동구가족센터,051-603-0233,051-603-0222
부산,동래구,동래구가족센터,051-503-3530,051-506-5767
부산,부산진구,부산진구건강가정지원센터,051-802-1441,051-802-2904
부산,북구,사회복지법인공덕향,051-362-0121,051-363-3382
부산,사상구,사상구가족센터,051-314-1279,051-328-0043
부산,사하구,사하구가족센터,051-202-2983,051-202-2984
부산,서구,부산서구가족센터,051-241-6252,051-241-4200
부산,수영구,수영구가족센터,051-758-6187,051-955-3072
부산,연제구,연제구가족센터,051-851-7006,051-851-8376
부산,영도구,영도구가족센터,051-414-9609,051-414-9608
부산,해운대구,해운대구건강가정지원센터,051-782-0099,051-782-7321
대구,군위군,대구군위군가족센터,070-7404-1141,054-383-2512
대구,남구,대구남구가족센터,053-475-2326,053-475-2346
대구,달서구,대구달서구가족센터,053-639-1513,053-593-1513
대구,달성군,대구달성군가족센터,053-636-5665,053-615-4373
대구,동구,대구동구가족센터,053-961-2292,053-961-2204
대구,북구,대구북구가족센터,053-327-2298,053-327-2995
대구,서구,대구서구가족센터,053-355-8043,053-355-8044
대구,수성구,대구수성구가족센터,053-795-4200,070-7500-4503
대구,중구,대구중구가족센터,053-431-1238,053-431-1231
인천,강화군,강화군가족센터,032-933-8005,032-934-0982
인천,계양구,계양구가족센터,032-547-1015,032-552-1015
인천,남동구,인천남동구가족센터,032-466-8177,032-467-3913
인천,동구,인천동구가족센터,070-7438-4903,032-761-4173
인천,미추홀구,미추홀구아이돌봄센터,032-875-2995,032-875-2998
인천,부평구,부평구건강가정지원센터,032-508-0166,0503-8379-2707
인천,서구,인천서구가족센터,032-265-2621,032-265-2627
인천,연수구,연수구가족센터,032-851-2733,032-851-2729
인천,중구,인천중구가족센터,032-763-4821,032-765-6921
광주,광산구,사단법인 광주디아코니아,062-959-9336,062-955-9005
광주,남구,사단법인 그루터기,062-671-4147,062-671-4144
